Feature,Importance,Std
accel_magnitude_mean,0.046718648473034405,0.00742249640175514
rf_sef95,0.036777128005198154,0.005984966310419472
rf_oter_alpha_plv,0.034178037686809604,0.006240523562595436
otel_sef95,0.02287199480181934,0.005773842726841592
rf_oter_theta_plv,0.01858349577647821,0.00800144212026622
rf_oter_theta_coherence,0.016504223521767336,0.006110626612350232
lf_abs_alpha_power_smoothed,0.015854450942170195,0.003145865740587458
lf_sef95,0.014294996751137079,0.004897061385683364
rf_oter_alpha_coherence,0.013580246913580207,0.00473443046964182
accel_jerk_mean,0.0126055880441845,0.0025860622147020665
otel_rel_theta_power_smoothed,0.007732293697205938,0.004363163603430679
otel_abs_alpha_power_smoothed,0.00766731643924623,0.004656653116873008
oter_abs_theta_power_smoothed,0.007277452891487945,0.0033360617681594492
lf_abs_alpha_power,0.007147498375568528,0.002949137288605649
oter_rel_alpha_power_smoothed,0.006757634827810233,0.006816111262868542
otel_abs_theta_power_smoothed,0.00630279402209224,0.003942251153246909
lf_otel_theta_coherence,0.006237816764132509,0.004380064859350924
rf_alpha_theta_ratio,0.006042884990253361,0.0028773995874573693
rf_abs_delta_power,0.005912930474333955,0.003081456972418303
lf_otel_alpha_plv,0.0057179987004548185,0.00305876602883425
oter_rel_theta_power_smoothed,0.005263157894736814,0.00247340692796286
rf_otel_theta_plv,0.005068226120857666,0.0013252812251053558
rf_abs_theta_power,0.004743339831059112,0.003170597244640903
otel_rel_alpha_power,0.004743339831059101,0.004368965685253881
oter_abs_alpha_power_smoothed,0.0047433398310590905,0.003974250470012482
rf_rel_theta_power_smoothed,0.004548408057179954,0.0035351450315101764
otel_rel_delta_power,0.004353476283300839,0.002500569383352025
lf_otel_theta_plv,0.00415854450942168,0.0034037169210419235
rf_abs_theta_power_smoothed,0.003963612735542532,0.0027018353328514336
oter_sef95,0.003443794671864808,0.0027111950675796056
lf_rel_theta_power_smoothed,0.0033788174139050995,0.0032070078438604516
lf_rel_alpha_power_smoothed,0.0033138401559453913,0.0048489754923471354
oter_abs_alpha_power,0.0031189083820662433,0.003918080164179679
stillness_score,0.002988953866146826,0.001748359200399435
movement_count,0.002858999350227398,0.001205148602403605
movement_intensity,0.0024041585445093937,0.002726723230455787
otel_oter_alpha_plv,0.002209226770630235,0.0025696842018564266
lf_rel_alpha_power,0.0021442495126705375,0.0018843404808317195
otel_rel_alpha_power_smoothed,0.002079272254710829,0.003031034123376378
otel_oter_theta_plv,0.0019493177387914008,0.003033818721229057
oter_rel_alpha_power,0.0019493177387913784,0.0027413935165339865
oter_rel_theta_power,0.0018193632228719614,0.0025958394224091155
lf_alpha_theta_ratio,0.0017543859649122528,0.0022518159130816714
otel_rel_theta_power,0.0016244314489928357,0.003416716523751761
otel_alpha_theta_ratio,0.0016244314489928247,0.0019974562896607393
lf_rel_delta_power,0.0014944769330733965,0.002014294996751145
otel_oter_theta_coherence,0.0014944769330733853,0.0013332218667110615
accel_magnitude_std,0.0013645224171539572,0.0031222907801777768
oter_abs_delta_power,0.0012995451591942485,0.002075207202426414
otel_alpha_theta_ratio_smoothed,0.0012995451591942375,0.0040889233846789445
oter_rel_delta_power,0.0012345679012345401,0.002296373885259564
lf_oter_theta_coherence,0.0011695906432748204,0.0025465780301839333
lf_abs_theta_power_smoothed,0.0011046133853151007,0.002772786003034692
rf_rel_alpha_power,0.0009746588693956837,0.004060428797912409
lf_rel_theta_power,0.0008447043534762444,0.0025507194836115123
oter_alpha_theta_ratio_smoothed,0.0007147498375568273,0.0031087391069280676
lf_oter_alpha_coherence,0.0006497725795971187,0.0028913054530587427
oter_alpha_theta_ratio,0.0006497725795971077,0.002934786170405769
rf_rel_theta_power,0.0005847953216373992,0.0028240823667447386
lf_oter_alpha_plv,0.0005198180636776905,0.0019010706742466326
rf_otel_alpha_coherence,6.497725795968634e-05,0.002670399296690653
lf_rf_alpha_plv,0.0,0.0
lf_rf_alpha_coherence,0.0,0.0
lf_rf_theta_coherence,0.0,0.0
lf_rf_theta_plv,0.0,0.0
otel_abs_alpha_power,-0.0002599090318388897,0.0019319127676827234
lf_alpha_theta_ratio_smoothed,-0.00032488628979859824,0.0021599441375691575
rf_otel_theta_coherence,-0.00032488628979860935,0.001933005169674285
lf_otel_alpha_coherence,-0.00038986354775830676,0.0038353098280373555
otel_abs_theta_power,-0.000519818063677746,0.0025631036937382758
rf_rel_delta_power,-0.0005847953216374657,0.003914306817889284
rf_abs_alpha_power,-0.0007797270955165802,0.003960948837980029
rf_abs_alpha_power_smoothed,-0.0007797270955165914,0.003246262767198653
otel_abs_delta_power,-0.0009746588693957392,0.002311035639217503
otel_oter_alpha_coherence,-0.001039636127355459,0.002697925859912504
lf_abs_delta_power,-0.0011046133853151673,0.00221399935508783
rf_otel_alpha_plv,-0.0012345679012345956,0.0030814569724183115
lf_abs_theta_power,-0.0012345679012345956,0.0013140837177489874
rf_alpha_theta_ratio_smoothed,-0.0017543859649123083,0.0022518159130816636
rf_rel_alpha_power_smoothed,-0.0021442495126705817,0.003800475325767314
lf_oter_theta_plv,-0.0022092267706303125,0.0022732755925322836
oter_abs_theta_power,-0.0024041585445094384,0.002949853011778081
